ground_truth	matched_claim
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	The MUpro database (https://www.ics.uci.edu/b aldig/mutation.html) predicted that p.R4599H could decrease protein stability ( G = −1.074) based on both the value and sign of the energy using a support vector machine (SVM) and sequence information only
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	"As the value is less than 40, this projects stability of our vaccine protein"
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	"To study the conformational stability of protein-ligand complexes and their changes, we have simulated the systems up to 100 ns each"
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	"Thus, to better understand the conformational stability of ligand binding and the contribution of the active site in terms of binding free energy, we performed MD simulation in solvated condition at physiological To investigate the overall conformational dynamics and stability of the protein-ligand complex, we calculated the RMSD values relative to the starting structure for the backbones of all residues (Figure 2 )"
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	"To examine their stability throughout the simulations period, the RMSD values of each protein was analyzed"
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	"In this scenario, our results may complement currently available structural data given that several protein configurations were simulated and subject to comparative analysis in order to clarify some questions regarding the monomer structure, the dimer stability, and so on"
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	A molecular dynamics simulation study was necessary to examine the stability and dynamic fluctuations in the ligand-protein complex under a simulated biological environment
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	"The fewer changes in the Rg value exhibited the stability of the protein in the complex, which showed less difference"
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	"The instability index values of the ORF9b and ORF14 proteins of SARS-COV-2 were 33.11 and 32.56, respectively, which classifies both proteins were stable ( Table 2 )"
"This value is longer than other stability estimates, potentially due to a fluid matrix with more protein to simulate human respiratory fluid and a higher inoculation dose."	"For simplicity, we assume that each particle size has a characteristic survival time τ given by the respiratory fluid would be ~2 x 10 10 copies/mL (~10.3 Log 10 (copies/mL), at the extreme high of measured values"
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	"In simulated saliva on a stainless steel surface, SARS-CoV-2 exhibits negligible decay over 60 min in darkness but loses 90% of its infectivity every 6.8-12.8 min, depending on the intensity of simulated ultraviolet (UV) B radiation levels, when exposed to simulated sunlight representative of the summer solstice at 40°N latitude at sea level on a clear day [32] "
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	"In dark conditions, the half-life of aerosolized SARS-CoV-2 is approximately 86 min in simulated saliva"
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	"(63) showed that SARS-CoV-2 is sensitive to artificial sunlight when suspended in simulated saliva on stainless steel coupons, i.e., 90% of the virus was inactivated in ∼7 min"
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	Findings from a similar study have confirmed a half-life of 177 min for SARS-CoV-2 in simulated saliva aerosol 1-3 µm in size at a relative humidity of 68-88% (43) 
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	"Furthermore, we were able to fit a linear regression equation (adjusted R 2 ϭ 0.71) that models the half-life of SARS-CoV-2 in simulated saliva on nonporous surfaces (stainless steel, ABS plastic, and nitrile rubber) ( Fig"
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	The results of the present study also demonstrate that the inactivation rate of SARS-CoV-2 in simulated sunlight was approximately 2-fold greater in simulated saliva than in culture media
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	The results of the present study also demonstrate that the inactivation rate of SARS-CoV-2 in simulated sunlight was approximately 2-fold greater in simulated saliva than in culture media
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	"In addition, SARS-CoV-2 viral particles were shown to be stable in artificial saliva up to 90 minutes [108, 109] , further confirming this as a major viral shedding route"
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	"In the present study, simulated sunlight rapidly inactivated SARS-CoV-2 suspended in either simulated saliva or culture media and dried on stainless steel coupons"
"In simulated saliva on stainless steel surfaces, SARS-CoV-2 shows negligible decay over 60 minutes in darkness, but loses 90% of infectivity every 6.8-12.8 minutes, depending on simulated UVB radiation."	Ninety percent of infectious SARS-COV-2 virus was inactivated every 6· 8 minutes in simulated saliva and every 14· 3 minutes in culture media when exposed to simulated sunlight
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"To determine the biological decay rate (i.e., loss of infectivity) of SARS-CoV-2 on stainless steel or plastic, virus-laden wet droplets were deposited onto coupons, which were then incubated under various RH and temperature conditions, followed by recovery of virus from the coupons for microtitration infectivity assays"
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"To determine the stability of SARS-CoV-2 on surfaces, virus was diluted 1:10 in simulated saliva and droplets were deposited onto stainless steel, acrylonitrile butadiene styrene (ABS) plastic, or nitrile rubber glove coupons"
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"evaluated the stability of SARS-CoV-2 and SARS-CoV-1, isolated from various strains, in aerosols of various particle sizes onto plastic, cardboard, stainless steel, and copper surfaces via assessing decay rates"
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"(2020) investigated the effects of temperature, relative humidity, as well as droplet size on the stability of SARS-CoV-2 in a simulated clinically relevant matrix dried on nonporous surfaces"
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"In controlled experiments, SARS-CoV-2 was detected on a variety of surface materials for up to 72 h, with a median half-life of 5.6 h on stainless steel and 6.8 h on plastic [13] "
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"[31] SARS-CoV-2 at 21 to 23°C and 40% relative humidity (RH): more stable on plastic (3.1-log reduction after 3 days) and stainless steel (3.1-log reduction on plastic after 2 days) than on copper and cardboard, and viable virus was detected up to 3 days after application to these surfaces"
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"Conversely, SARS-CoV-2 decayed more rapidly when either the humidity or the temperature was increased, but the droplet volume and surface type (stainless steel, plastic, or nitrile glove) did not impact the decay rate significantly"
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"(2020) have recently showed that, under laboratory conditions, SARS-CoV-2 can remain stable on surfaces such as plastic and stainless steel for up to 72 h with a stability similar to that of SARS-CoV-1"
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"Here, we broadly investigated the effects of relative humidity, temperature, and droplet size on the stability of SARS-CoV-2 in a simulated clinically relevant matrix dried on nonporous surfaces"
"The Department of Homeland Security (DHS) developed a data-based model for SARS-CoV-2 decay on inert surfaces (stainless steel, ABS plastic and nitrile rubber) at varying temperature and relative humidity without sunlight."	"A survey about virus stability during different environmental conditions has shown that SARS-CoV-2 was very stable on some inanimate surface (plastic, stainless steel, copper, and cardboard) for a few hours at 21 to 23 °C [51] "
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"Thus, PM containing SARS-CoV-2 could be a direct transmission model in a highly polluted area"
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	Other researchers have examined the possibility that airborne particulate matter (PM) facilitates the transmission of SARS-CoV-2 through the air (Martelletti and Martelletti 2020; di Toppi et al
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"Moreover, a recent study showed that fine particulate matter (PM2.5) is a carrier of SARS-CoV-2, indicated by the presence of viral RNA (Setti et al"
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"In this paper, we hypothesized that PM is a possible transmission model for COVID-19 by direct and/or indirect SARS-CoV-2 infection of the lungs"
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"[ In previous communications, we have hypothesized the possibility that SARS-CoV-2 virus could be present onparticulate matter (PM) during the spreading of the infection, [5, 6] consistently with evidence already available for other viruses [7] [8] [9] [10] [11] [12] [13] [14] [15] "
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"A small increases in fine particulate matter (e.g., PM2.5) have been found to increase the SARS-CoV-2 transmission"
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"[4] In previous communications, we have hypothesized the possibility that SARS-CoV-2 virus could be present onparticulate matter (PM) during the spreading of the infection, [5, 6] consistently with evidence already available for other viruses [7] [8] [9] [10] [11] [12] [13] [14] [15] "
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"The preliminary detection of SARS-CoV-2 in particulate matter (PM) strengthened the associative hypothesis between PM and COVID-19, suggesting that inhalation of PM might be a potential pathway of transmission (Setti et al., 2020) "
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"The preliminary detection of SARS-CoV-2 in particulate matter (PM) strengthened the associative hypothesis between PM and COVID-19, suggesting that inhalation of PM might be a potential pathway of transmission (Setti et al., 2020b) "
Particulate matter (PM) does not appear to be a viable transmission model of SARS-CoV-2.	"Thus, PM-upregulated ACE2 could be an indirect transmission model for SARS-CoV-2 infection"
"It does not appear that pollen or air particulates are carriers of SARS-CoV-2, despite some country-level associations."	It was hypothesized in these studies that high level of air particulates reduces host immunity and more importantly may become carriers of viral particles helping in its transmission
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"In vitro data have confirmed the reduced survival of SARS-CoV-2 with increase in air temperature and relative humidity (Jüni et al., 2020; NAS., 2020; Zhu & Xie, 2020) "
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"Previous studies with other viruses, including SARS-CoV-1, have demonstrated that survival in the environment is dependent on multiple factors, including temperature, humidity, sunlight, and the matrix in which the virus is suspended [6] [7] [8] [9] [10] [11] "
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"The virus survival time in the environment is affected by salinity, humidity, temperature, pH, solar radiation and air pollution (Sooryanarain and Elankumaran, 2015) , while suitable environmental conditions such as worm, wet and stuffiness could lengthen the concentration and survival time of airborne SARS-CoV-2"
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"From studies of ""surrogate"" RNA viruses, assuming analogous behavior of SARS-CoV-2, it seems that virus survival in the air increases with decreasing temperature and relative humidity (Casanova et al., 2010) "
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"From studies of ""surrogate"" RNA viruses, assuming analogous behavior of SARS-CoV-2, it seems that virus survival in the air increases with decreasing temperature and relative humidity [44] "
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"In addition to inhalation rate and exposure time, this study also included considerations of humidity and temperature-dependent survival of SARS-CoV-2 in aerosolized form based on a viability model for influenza viruses (Kong et al., 2020) "
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	Some research studies indicate that the shortest time of survival of SARS-CoV-2 in aerosol form (as droplets in the air) is four hours and the virus becomes inactive above 60 ○ C air temperature
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"SARS-CoV-2 appears to be stable at different pH values (3-10) at room temperature, however, alkaline pH (>12) or acidic pH (<3) as well as heat, sunlight and UV light appear to be capable of inactivating the virus (49, 54, 55) "
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"Although neither air temperature nor humidity can be independently correlated with virus viability, a strong relationship between SARS-CoV-2 virulence and the specific enthalpy of moist air appears to exist, as confirmed by extensive data analysis"
SARS-CoV-2 survival in the air is highly dependent on the presence of UV light and temperature.	"SARS-CoV-1 in an aerosolized form treated with UV light illustrated a greater susceptibility (Z-value ratio of air to liquid of 85.7) compared to that of the virus in liquid media (Walker and Ko, 2007) "
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	"The findings are consistent with the hypothesis that suggests that SARS-CoV-2 spreads through airborne aerosolization, since lower levels of specific humidity lead to a higher concentration of aerosols when a dry air increases the evaporation of respiratory droplets, i.e"
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	"There have been myriads of hypotheses corroborating that certain threshold levels of humidity, temperature, sunlight, and ventilation will speed up the virus-laden droplet and aerosol transmission, aggravating the spread of the SARS-CoV disease (Morawska, 2006) "
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	Their observation revealed a strong reduction of transmission in climates with temperatures above 30 • C and relative humidity below 78% which may comodulate the infectivity of SARS-CoV-2 within respiratory droplets [103] 
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	"This study investigates the influence of weather conditions including temperature, humidity and wind velocity, on the transmission of SARS-CoV-2-containing respiratory droplets"
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	"Effects of temperature, humidity, air quality and anthropic activities on the transmission of SARS-CoV-2: a systematic review protocol"
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	"Studies using a regression framework have found a role for temperature, relative and specific humidity in the transmission of SARS-CoV-2 (3) (4) (5) (6) (7) , suggesting that cold, dry conditions increase the transmission of the virus"
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	Contamination by such aerosol droplets may increase the risk of SARS-CoV-2 transmission
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	The effects of ambient temperature and humidity on the viability of SARS-CoV-2 are unclear
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	"To this regard, emerging evidence suggests that whether climate conditions may influence the transmission of the SARS-CoV-2 by boosting the spread (much of the data have not been peer-reviewed yet)"
"Due to the effects of evaporation, modeling suggests that hot, dry conditions increase the aerosol risk of SARS-CoV-2, though cold, humid conditions facilitate transmission by droplet spread."	"Studies using a regression framework have found a role for temperature, relative humidity and specific humidity in the transmission of SARS-CoV-2 [3, 4, 5, 6, 7] , suggesting that cold, dry conditions increase the transmission of the virus"
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	Experimental studies using SARS-CoV-2 aerosols produced from artificial saliva found that simulated sunlight inactivates the virus rapidly [33] 
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	"282 Importantly, sunlight exposure inactivated 98% of infectious SARS-CoV-2 every 6.8 minutes in simulated saliva and every 14.3 minutes in culture media"
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	"(63) showed that SARS-CoV-2 is sensitive to artificial sunlight when suspended in simulated saliva on stainless steel coupons, i.e., 90% of the virus was inactivated in ∼7 min"
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	"Nearly 5-log of SARS-CoV-2 was inactivated by treatment with 10 µM MB and exposure to 700 lux (ambient light generated by light in a biosafety hood) for 60 minutes, and nearly 3-log of virus was inactivated by 10 µM MB in <100 lux of light (biosafety hood with the lights off) [ FIGURE 6A ]"
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	"For a subset of tests, SARS-CoV-2 aerosols were exposed to simulated sunlight generated by a solar simulator (Newport Oriel) equipped with a 320-nm highpass filter (WG320 filter PN SL07614, Solar A c c e p t e d M a n u s c r i p t Light Co.) through a fused-silica window on one face of the chambers"
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	"67,153 Exposure of SARS-CoV-1 to a UVC light source (254 nm, 4016 µW/cm 2 ) held 3 cm above the virus resulted in a ~4.5 log10 TCID50/mL reduction in virus titer within 6 minutes"
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	"Previous studies had suggested that more than 90% of the SARS-CoV-2 virus load will be inactivated after exposure to summer midday sunlight in the summer for 34 minutes (Sagripanti and Lytle, 2020) "
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	Duan and his colleagues (2003) have observed that the SARS-CoV virus lost its viability after 60 minutes of exposure to > 90 W/cm 2 of UV-C light at a distance of 80 cm
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	90% or more of SARS-CoV-2 virus will be inactivated after being exposed for \11-34 minutes of midday sunlight in most US and world cities during summer
"Experimental studies using SARS-CoV-2 aerosols (1.78-1.96 μm mass median aerodynamic diameter in artificial saliva matrix) found that simulated sunlight rapidly inactivates the virus, with 90% reductions in infectious concentration after 6 minutes in high-intensity sunlight (similar to mid-June) and 19 minutes in low-intensity sunlight (similar to early March or October)."	Ninety percent of infectious SARS-COV-2 virus was inactivated every 6· 8 minutes in simulated saliva and every 14· 3 minutes in culture media when exposed to simulated sunlight
"In dark conditions, the half-life of aerosolized SARS-CoV-2 is approximately 86 minutes in simulated saliva matrix."	"In dark conditions, the half-life of aerosolized SARS-CoV-2 is approximately 86 min in simulated saliva"
"In dark conditions, the half-life of aerosolized SARS-CoV-2 is approximately 86 minutes in simulated saliva matrix."	"letter measured infectious titers per liter of air in a simulated aerosolized environment and showed stability of the SARS-CoV-2 virus in aerosols for up to 3 h, with a half-life of 1.2 h (110)"
"In dark conditions, the half-life of aerosolized SARS-CoV-2 is approximately 86 minutes in simulated saliva matrix."	"All the scenarios were simulated taking into account that the virus is able to remain viable in the air for up to 3 hours post aerosolization (with an half-life of 1.1 h) as recently detected by (van Doremalen et al., 2020) ; thus, if the infected individual remained inside the environment for 10 minutes (e.g"
"In dark conditions, the half-life of aerosolized SARS-CoV-2 is approximately 86 minutes in simulated saliva matrix."	"In a study simulating sunlight on influenza virus aerosols, virus half-life was significantly reduced from 31.6 min in the dark control group to approximately 2.4 min in simulated sunlight (81) "
"In dark conditions, the half-life of aerosolized SARS-CoV-2 is approximately 86 minutes in simulated saliva matrix."	"The simulated sunlight alone significantly inactivated the virus, resulting in 0.29 + 0.09 min -1 decay constant and a half-live of approximately 2.4 minutes compared to non-irradiated controls, which had 0.02 + 0.06 min -1 decay constant and 31.1 min half-life"
Humidity alone had no significant impact on aerosolized virus survival.	"However, relative humidity (20, 37, 53, and 70%) had no significant effect on the survival of the aerosolized virus"
Humidity alone had no significant impact on aerosolized virus survival.	"(2012) reported that the inactivation efficiency of droplet and aerosolized viruses under different humidity levels and UV irradiation at a constant intensity were low in artificial saliva, indicating that solids present in it might exhibit a protective effect"
Humidity alone had no significant impact on aerosolized virus survival.	"In all of these contexts, infectious aerosols can pose infection risks to people, influenced by complex environmental factors affect the survival, transport and fate of aerosolized virus"
Humidity alone had no significant impact on aerosolized virus survival.	"Yang et al., in two different papers (published in 2011 and 2012), investigated the association between influenza A virus viability and environmental factors such as relative humidity (RH) and aerosol composition (salt, proteins, mucus), underlining the potential impact of RH on virus survival in its aerosol carrier [12, 13] "
Humidity alone had no significant impact on aerosolized virus survival.	Research findings on the impact of humidity and temperature on the survival of the virus in airborne particulate matter indicate contrary to that
Humidity alone had no significant impact on aerosolized virus survival.	"Relative humidity has an impact on virus survival in aerosols and droplets, as RH affects rates of dehydration of droplets containing virions"
Humidity alone had no significant impact on aerosolized virus survival.	A difference in ambient temperature and relative humidity (RH) impact virus survival [105] 
Humidity alone had no significant impact on aerosolized virus survival.	The temperature has a greater impact on the survival of the virus than that of humidity level
Humidity alone had no significant impact on aerosolized virus survival.	"These meteorological factors such as humidity, visibility, and wind speed can affect droplet stability in the environment, or affect survival of viruses as air temperature does, and thus impact epidemic transmission"
Humidity alone had no significant impact on aerosolized virus survival.	"In a recent investigation about the weather impact on airborne coronavirus survival, 6 the authors found that the spray distance and droplet mass loss is less affected in ambient with a low temperature (considering a temperature range of 0 ○ C-40 ○ C) and a high relative humidity"
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	"Since reported median estimates of the half-life of SARS-CoV-2 in aerosols range from approximately 1.1 to 1.2 hours (95% confidence intervals of 0.64 to 2.64) (van Doremalen et al.,2020), our J o u r n a l P r e -p r o o f samples were taken 48 hours after the patient had tested negative for SARS-CoV-2 and two hours after the last disinfection operation at Jiangjunshan Hospital"
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	"SARS-CoV-2 can remain viable in an aerosol for at least three hours, with reducing infectious titre from 10 3.5 to 10 2.7 tissue culture infectious dose (TCID50) per litre of air"
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	"A recent study reported SARS-CoV-2 viability up to 3 hours in aerosol, with half-life of 5.6 hours on stainless steel and 6.8 hours on plastic surfaces"
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	"The half-life of SARS-CoV-2 in aerosols is estimated to be 1.1 to 1.2 hours with 95% credible interval of 0.64 to 2.64 hours (van Doremalen et al., 2020) "
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	The half-life of the SARS-CoV-2 virus on aerosols is about 1.1-1.2 hours within a 95% confidence interval of 0.64-2.64 hours
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	"SARS-CoV-2 has been shown to persist in aerosols for up to three hours, with a decline in the infectious virus titer from 10 3.5 to 10 2.7 TCID 50 per liter of air [46] "
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	"5 While these studies assayed viral RNA, the finding that SARS-COV-2 in fine aerosols (<5 microns) has a half-life of 1 hour in terms of infectivity raises the possibility that some airborne virus is infectious"
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	"van Doremalen et al reported that the halflife of aerosolized SARS-CoV-2 at 65% relative humidity and 21-23°C is approximately 1.1 to 1.2 hours.(31) However, another experimental study by Fears et al (32) compared the stability of SARS-CoV-2 with SARS-CoV and MERS-CoV in aerosol and found that SARS-CoV-2 remains infectious even after 16 hours"
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	SARS-CoV-2 remained viable in aerosol for three hours
"SARS-CoV-2 was shown to have an aerosol half-life of 2.7 hours (without sunlight, particles <5 μm, tested at 21-23°C and 65% RH),673 retaining infectivity for up to 16 hours in appropriate conditions (23°C, 53% RH, no sunlight)."	"27 In the case of aerosols, the half-life of the SARS-CoV-2 virus can range from 1.1 to 1.2 hours, with persistent activity three hours after generation"
